athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
100402,Riikka Nieminen-Välilä,Female,12 June 1973,163.0,60, Finland,FIN,,Listed in Olympians Who Won a Medal at the European Ice Hockey Championships (3–0–0 1989 Düsseldorf and Ratingen gold; 1993 Esbjerg gold; 1995 Rīga gold) Listed in Olympians Who Won a Medal at the World Ice Hockey Championships (0–1–6 1990 Ottawa bronze; 1992 Tampere bronze; 1994 Lake Placid bronze; 1997 Kitchener bronze; 2015 Malmö bronze; 2017 Plymouth bronze; 2019 Espoo silver)
139301,Artem Darenskyi,Male,7 July 2001,191.0,82, Ukraine,UKR,,
68916,Halland Britton,Male,18 February 1890,,, Great Britain,GBR,"The Northern Champion at 4 miles (1924-26), and the steeplechase (1925), Halland Britton was a three-time winner of the AAA 10 miles title (1921-22, 1924). He also placed in the 4 miles and the steeplechase at the Championships and won the 5K vs. France on his international début in 1923. He was 11th for England in the International Cross-Country in 1921. Personal Bests: 10000 – 32:06.0e (1924).",
114341,Novica Bjelica,Male,9 February 1983,202.0,97, Serbia,SRB,,Listed in Olympians Who Won a Medal at the European Volleyball Championships (0–0–1 2005 ITA/SCG bronze)
93838,Inna Nikitina,Female,12 September 1982,170.0,59, Ukraine,UKR,,
48110,Annamária Kiss,Female,5 December 1981,173.0,55, Hungary,HUN,,
56125,Pierino Gabetti,Male,22 May 1904,170.0,59, Italy,ITA,"Pierino Gabetti was an Italian weightlifter who competed at three Olympic Games (1924-32), winning gold in featherweight in 1928 and silver in 1932. Gabetti was a sailor by trade. He won the first of his seven Italian Championships in 1923. Gabetti competed at three European Championships, placing fourth in 1930, seventh in 1931, and fifth in 1934. He set two featherweight world records in the snatch in 1927-28. From 1955-61 he was the national team coach. An honor member of the Italian Federation, he received, among many awards, the 1957 Valens Prize and the Gold Medal of the Italian Olympic Committee for his athletic achievements in 1965.",Listed in Olympians Who Received the Italian Olympic Association (CONI) Gold Medal ()
38168,Zoltán Melis,Male,11 September 1947,186.0,81, Hungary,HUN,,Brother of Antal Melis Brother-in-law of Kamilla Kosztolányi Brother-in-law of József Csermely
47889,Stefan Peter,Male,17 November 1964,195.0,78, West Germany,FRG,"West German swimmer Stefan Peter was a backstroke specialist. He finished fourth with the 4x100 metres medley relay squad at the 1984 Los Angeles Olympics, when he also placed 11th overall in the 100 metres, and 13th in the 200. With the medley relays he won two bronze medals internationally, at the 1982 World Championships and at the 1983 Europeans. In 1982 and 1983 Peter also won the 100 metres backstroke national title.",Listed in Olympians Who Won a Medal at the European Aquatics Championships (0–1–0 1983 Roma SWM silver: 4×100 m medley relay) Listed in Olympians Who Won a Medal at the World Aquatics Championships (0–0–1 1982 Guayaquil SWI bronze: 4×100 m medley relay)
892059,G. M. Chaplin,Male,,,, United States,USA,,
76309,Lennart Moberg,Male,26 December 1918,190.0,73, Sweden,SWE,Personal Best: TJ – 15.27 (1948).,
60122,Thure Sjöstedt,Male,28 August 1903,,, Sweden,SWE,"In 1928 Thure Sjöstedt won the gold medal in light-heavyweight freestyle, adding a silver medal in 1932. While he was second at the 1927 European Championship in Greco-Roman, he later moved up to the heavyweight division and won the 1934 European freestyle title. Sjöstedt later had difficulties with heavy drinking and was eventually found dead in his garden cottage.",
13173,Catherine Marsal,Female,20 January 1971,168.0,53, France,FRA,,
138168,Henrik Leek,Male,15 March 1990,183.0,75, Sweden,SWE,,Listed in Olympians Who Won a Medal at the European Curling Championships (4–0–0 2014 Champéry gold: team; 2015 Esbjerg gold: team; 2016 Renfrewshire gold: team; 2017 St. Gallen gold: team) Listed in Olympians Who Won a Medal at the World Curling Championships (2–1–0 2015 Halifax gold: team; 2017 Edmonton silver: team; 2018 Las Vegas gold: team)
902653,Yuliya Chernitsova,Female,,,, Russian Federation,RUS,,
840,Kimiko Jinnai,Female,12 March 1964,165.0,53, Japan,JPN,,"Listed in Olympians Who Won a Medal at the Asian Games (0–2–2 1982 New Delhi BDM silver: team; 1986 Seoul BDM silver: team, bronze: doubles; 1990 Beijing BDM bronze: team)"
147676,Elizabeth Balogun,Female,9 September 2000,,, Nigeria,NGR,,
122485,Felipe Kitadai,Male,28 July 1989,164.0,60, Brazil,BRA,,Listed in Olympians Who Won a Medal at the Summer Pan American Games (1–1–0 2011 Guadalajara JUD gold: extra-lightweight -60 kg; 2015 Toronto JUD silver: extra-lightweight -60 kg)
132291,Farid Chaal,Male,3 July 1994,196.0,80, Algeria,ALG,,
37176,Kate MacKenzie,Female,26 February 1967,178.0,75, Great Britain,GBR,,
701938,Ahmed Al-Merjabi,Male,9 September 1990,170.0,65, Oman,OMA,,
3229,Rick Greene,Male,2 January 1971,195.0,91, United States,USA,"Rick Greene was a right-handed relief pitcher who played in college at LSU (Louisiana State University), helping lead them to victory at the 1991 College World Series. Greene was drafted by the New York Yankees in the 14th round of the 1989 draft, but did not sign, and was then drafted after college in the 16th round of the 1992 draft by the Detroit Tigers. Greene then played minor league baseball from 1993-99, appearing with various teams, including the Lakeland Tigers, the London Tigers, the Trenton Thunder, the Jacksonville Suns, and the Toledo Mud Hens. In November 1997 he was traded to the Milwaukee Brewers organization and played one year with their minor league affiliate, the Louisville Redbirds. Greene was traded to the Cincinnati Reds in February 1999. He started with their Triple A affiliate, the Indianapolis Indians. On 19 June 1999, he came up to the bigs and appeared in relief in a game against the Brewers, going 5⅔ innings, giving up three earned runs and seven hits. It was his only appearance in the Major Leagues. Greene continued to play minor league ball through 2001, before retiring from professional baseball.",
140574,Jessica Hull,Female,22 October 1996,,, Australia,AUS,,
54755,Eduard Balúch,Male,30 June 1971,,, Czechoslovakia,TCH,,
143891,Emmet Brennan,Male,4 May 1991,,, Ireland,IRL,,
18785,Robert Hill,Male,11 June 1967,182.0,84, Great Britain,GBR,,
75143,Cristina Pomacu,Female,15 September 1973,164.0,46, Romania,ROU,Personal Best: Mar – 2-29:44 (2001).,
