athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
128355,Kseniya Stolbova,Female,7 February 1992,,, Russian Federation,RUS,,Listed in Olympians Who Won a Medal at the Winter Universiade (1–0–0 2013 Trentino FSK gold: pairs) Listed in Olympians Who Won a Medal at the European Figure Skating Championships (0–3–1 2012 Sheffield bronze: pairs; 2014 Budapest silver: pairs; 2015 Stockholm silver: pairs; 2018 Moskva silver: pairs) Listed in Olympians Who Won a Medal at the World Figure Skating Championships (0–1–0 2014 Saitama silver: pairs)
62895,Édouard Mantois,Male,23 August 1848,,, France,FRA,,
32351,Heo Sun-Yeong,Female,28 September 1975,180.0,71, Republic of Korea,KOR,,Listed in Olympians Who Won a Medal at the Asian Games (3–0–1 1998 Bangkok HBL gold; 2002 Busan HBL gold; 2006 Doha HBL gold; 2010 Guangzhou HBL bronze)
90078,Khady Yacine N'Gom,Female,1 March 1979,180.0,68, Senegal,SEN,,
121184,Sonja Barjaktarović,Female,11 September 1986,180.0,74, Montenegro,MNE,,Listed in Olympians Who Won a Medal at the Mediterranean Games (0–0–1 2009 Pescara HAN bronze)
46666,Leo Suni,Male,18 May 1891,,, Finland,FIN,,
86053,Michal Giacko,Male,27 September 1969,171.0,64, Slovakia,SVK,,
119362,Ryan Getzlaf,Male,10 May 1985,193.0,100, Canada,CAN,,Listed in Olympians Who Won a Medal at the World Ice Hockey Championships (0–1–0 2008 Halifax and Québec City silver) Listed in Olympic Champions Who Have Played in a Stanley Cup Winning Team (Olympic Gold – 2010/2014; Stanley Cup Champion – 2007 Anaheim Ducks.)
60827,Winston Santos,Male,5 March 1968,165.0,65, Venezuela,VEN,Winston Santos had the following finishes at major championships – 1991 Pan-American Games: 62.0 kg. Greco-Roman (3rd); 1991 Pan-American Games: 62.0 kg. Freestyle (7th).,Listed in Olympians Who Won a Medal at the Summer Pan American Games (0–1–1 1991 La Habana WRE bronze: Greco-Roman featherweight -62 kg; 1995 Mar del Plata WRE silver: Greco-Roman featherweight -62 kg) Listed in Olympians Who Won a Medal at the Central American and Caribbean Games (0–1–0 1993 Ponce WRE silver: Greco-Roman featherweight -62 kg)
82121,Diane Pratte,Female,18 June 1953,157.0,51, Canada,CAN,,Mother of Brigitte Acton
91104,Choi Cheol-Wu,Male,30 November 1977,184.0,75, Republic of Korea,KOR,,
37636,Eckhard Martens,Male,12 June 1951,191.0,94, East Germany,GDR,"Eckhard Martens was an East German rower who was a member of the coxed fours crew that won the silver medal at the 1972 München Olympics. The boat lost the gold medal against the famous West German boat called Bullenvierer (Bull’s fours). In 1970 he won the East German nationals with the coxed eights, and also the World Championships. In 1971 he claimed the silver medal at the Europeans. In 1973, he added another silver medal with the coxed fours at the Europeans, and then moved to the eights again. Martens later became a graduated economist and worked with his home club Dynamo Berlin.",
13134,Barbara Heeb,Female,13 February 1969,164.0,51, Switzerland,SUI,,
100010,Milla Jauho,Female,10 July 1975,165.0,53, Finland,FIN,,
95932,Robert Nusser,Male,15 April 1911,,, Austria,AUT,"Robert Nusser was an Austrian ice hockey goaltender who participated in the 1956 Cortina d’Ampezzo Winter Olympics, where the team placed tenth and last. He also played in the 1955 and 1957 World Championships. Domestically, Nusser played with Klagenfurter AC 1909.",
77607,Nikolay Puklakov,Male,15 January 1945,175.0,61, Soviet Union,URS,Personal Best: 5000 – 13:33.2 (1972).,Listed in Olympians Who Won a Medal at the Summer Universiade (1–0–0 1970 Torino ATH gold: 5000 m)
78374,Fred Engelhardt,Male,14 May 1879,,, United States,USA,"On the same day at the 1904 Olympics, Fred Englehardt of New York’s Mohawk AC placed second in the triple jump and fourth in the long jump. Engelhardt also won the handicap broad jump and placed third in the handicap 60 metre dash at the 1904 Olympics, both of which were considered non-Olympic or demonstration events. He later worked as an embroiderer for Carl Muscatt Embroidery Service in Middlesex, New Jersey. Personal Bests: LJ – 6.99 (1903); TJ – 14.18 (1903).",
97300,Othmar Schneider,Male,27 August 1928,,, Austria,AUT,"A great all-around skier, Othmar Schneider’s greatest success came at the 1952 Olympics, where he won the slalom and placed second. He might have won a third medal in the combined, but that event had been discontinued after 1948 and replaced by the giant slalom. It was held as a World Championship event in subsequent Olympics, but not in Oslo. While not managing to win any additional medals in international championships (Schneider ranked fourth in the 1954 World Championship giant slalom), he did win various honors in major races in Europe and North America. In 1951, he won the famous Arlberg-Kandahar slalom (held in Sestriere that year), while winning the Wengen downhill and combined two years in a row (1951-1952). After the 1956 Winter Olympics, Schneider switched to the pros, competing in two Professional World Championships. In the meanwhile, he switched focus to a second sport, pistol shooting. A 34-fold Austrian champion (17 individual titles), he won a World Championships team bronze in the free pistol (1974) and a European Championship team bronze in the center-fire pistol (1975). A third Olympic appearance in the sport was impossible because of Schneider’s past, having been a pro and a skiing teacher in the US and Chile. Schneider, who was course manager at the 1966 World Championships in Chile, later managed his own hotel in Lech, and owned and managed Huber, a manufacturer of skiing apparel and accessories. In 1976, he also managed his third appearance at the Olympic Games as the coach of Austrian’s sport shooters, and his pupil Rudolf Dollinger won a bronze medal in those games.","Listed in Olympians Who Won a Medal at the World Shooting Championships (0–0–1 1974 Bern/Thun bronze: 50 m free pistol team) Listed in Olympians Who Won a Medal at the World Alpine Ski Championships (1–1–0 1952 Oslo (Olympics) gold: slalom, silver: downhill)"
129618,Shang Chunsong,Female,18 March 1996,143.0,34, People's Republic of China,CHN,,"Listed in Olympians Who Won a Medal at the Asian Games (1–2–1 2014 Incheon GAR gold: team, silver: all-around and floor, bronze: balance beam)"
35774,Marcel Wauters,Male,26 June 1894,,, Belgium,BEL,,
24265, China,Male,3 October 1948,167.0,64, Brazil,BRA,,"Listed in Olympians Who Participated in the 1968 Olympic Football Qualification Campaign (6 App. - 2 goals - 450+ min. played: Qualification tournament in Columbia: PAR 0:0, VEN 3:0, CHI 0:0, URU 1:2, PAR 2:0 (awarded), COL 3:0)"
144845,Benjamin Kigen,Male,5 July 1993,,, Kenya,KEN,,
36876,René Boucher,Male,1 December 1928,,, France,FRA,,
35470,Athol MacDonald,Male,3 September 1953,193.0,93, Australia,AUS,,
102997,Giampiero Pinzi,Male,11 March 1981,176.0,74, Italy,ITA,,"Listed in Olympians Who Participated in the 2004 Olympic Football Qualification Campaign (men) (9 App. - 1 goal - 643 min. played: AZE 3:0 (a) (bench), SCG 4:1 (h) (bench), WAL 2:1 (a) (bench), FIN 1:0 (h), FIN 2:1 (a), WAL 8:1 (h), SCG 0:1 (a), DEN 1:1 (a); European Under-21 Championship in Germany: BLR 1:2, SCG 2:1, CRO 1:0, POR 3:1)"
112352,Matthew Lidaywa Mwange,Male,2 January 1979,201.0,86, Kenya,KEN,,
128873,Belén Casetta,Female,26 September 1994,163.0,52, Argentina,ARG,,Listed in Olympians Who Won a Medal at the Summer Pan American Games (0–0–1 2019 Lima ATH bronze: 3000 m steeplechase) Listed in Olympians Who Won a Medal at the Summer Universiade (0–1–0 2019 Napoli ATH silver: 3000 m steeplechase)
66319,Rosalie Gangué,Female,31 May 1975,160.0,60, Chad,CHA,Personal Bests: 800 – 2:16.04 (1994); 1500 – 4:52.47 (1991).,Listed in First Female Competitors at the Olympics by Country (First woman to compete for Chad)
26221,Eizo Yuguchi,Male,4 July 1945,168.0,62, Japan,JPN,,
74254,Laurent Chifita,Male,3 August 1943,168.0,56, Zambia,ZAM,Personal Best: Mar – unknown.,
29851,Einari Teräsvirta,Male,7 December 1914,,, Finland,FIN,"Einari Teräsvirta won his first Olympic medals in 1932, two bronze medals in the team all-around and high bar. The Finnish team management internally decided that Heikki Savolainen should receive the silver medal on the high bar and Teräsvirta the bronze, after they had tied. In 1936 Teräsvirta won his third bronze medal and in 1948 crowned his career with a team gold medal. Teräsvirta later became a well-known and respected architect in Finland. As an architect he graduated from the Helsinki University of Technology in 1939. In 1949, he established his own office and designed numerous public buildings, notably for the Helsinki University, and sports venues in Helsinki. He ran his office until age 72 and held various positions in the Finnish Association of Architects and other professional institutions. In 1974 he was awarded the title of professor. In 1952, Teräsvirta submitted his plans for the Swimming-baths, Ilosaari. Ilosaari is the most famous island in the Pielisjoki River in the city of Joensuu. A swimming pool with wooden diving towers was built here as early as 1907. In the 1940s, the old facilities were abandoned and construction of the new Ilosaari 25 metre pool began in 1946 and was completed in 1949. It was eventually demolished in the 1970s.",
126026,Javier Cienfuegos,Male,15 July 1990,187.0,110, Spain,ESP,,
119094,Luca Lanotte,Male,30 July 1985,178.0,70, Italy,ITA,,Listed in Olympians Who Won a Medal at the Winter Universiade (1–0–0 2007 Torino FSK gold: ice dancing) Listed in Olympians Who Won a Medal at the European Figure Skating Championships (1–3–1 2013 Zagreb bronze: ice dancing; 2014 Budapest gold: ice dancing; 2015 Stockholm silver: ice dancing; 2016 Bratislava silver: ice dancing; 2017 Ostrava silver: ice dancing) Listed in Olympians Who Won a Medal at the World Figure Skating Championships (1–0–0 2014 Saitama gold: ice dancing)
12936,Roberto Viñals,Male,"in Miguel Hidalgo, Ciudad de México (MEX) (c. 1934)",,, Mexico,MEX,"Roberto Viñals had the following podium finishes at major championships: 1st in the 1955 Pan American Games jumping individual, 1st in the 1955 Pan American Games jumping team (with Humberto Mariles and the non-Olympians Jaime de la Garza and Joaquín D’Harcourt), 3rd in the 1951 Pan American Games jumping team (with Alberto Váldes, Sr. and the non-Olympians Jorge Rodríguez and Joaquín D’Harcourt).","Listed in Olympians Who Won a Medal at the Summer Pan American Games (2–0–1 1951 Buenos Aires EQU bronze: jumping team, 1955 Ciudad de México EQU gold: jumping individual and jumping team) Listed in Olympians Who Won a Medal at the Central American and Caribbean Games (2–0–0 1950 Ciudad de Guatemala EQU gold: jumping team; 1954 Ciudad de México EQU gold: jumping team)"
56712,Rikard Brunn,Male,27 May 1893,,, Sweden,SWE,,
10978,Aleksandr Krasavin,Male,1929,,, Soviet Union,URS,,
99639,Aleksey Kobelev,Male,27 July 1971,178.0,80, Russian Federation,RUS,,"Listed in Olympians Who Won a Medal at the European Biathlon Championships (1–1–0 1996 Racines gold: 4×7.5 km relay; 1999 Izhevsk silver: 4×7.5 km relay) Listed in Olympians Who Won a Medal at the Summer Biathlon World Championships (4–3–2 1996 Hochfilzen gold: 6 km individual CC; 1998 Brezno-Osrblie gold: 4 km sprint CC, silver: 6 km pursuit CC; 1999 Minsk gold: 4×6 km relay CC, bronze: 4 km sprint CC and 6 km pursuit CC; 2002 Jablonec nad Nisou gold: 4×6 km relay CC; 2005 Muonio silver: 6 km mass start CC and 4×4 km relay CC) Listed in Olympians Who Won a Medal at the World Biathlon Championships (1–2–1 1993 Borovets silver: team; 1994 Canmore silver: team; 1996 Ruhpolding gold: 4×7.5 km relay; 1998 Pokljuka/Hochfilzen bronze: team)"
66092,Simon Hoogewerf,Male,11 May 1963,175.0,66, Canada,CAN,Personal Best: 800 – 1:45.4 (1988).,Listed in Olympians Who Won a Medal at the World Athletics Indoor Championships (0–0–1 1991 Sevilla bronze: 800 m)
91803,Fiona Greenham,Female,19 May 1976,176.0,68, Great Britain,GBR,Winner of the Bronce Medal with the English Team at the European Championships in 1999.,Listed in Olympians Who Won a Medal at the British Empire/Commonwealth Games (0–1–0 1998 Kuala Lumpur HOK silver (competed for England))
