athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
53588,Biser Naumov,Male,1 April 1942,187.0,87, Bulgaria,BUL,,
84283,Pat Bouchard,Male,24 April 1973,177.0,78, Canada,CAN,Personal Bests: 500 – 35.10 (2001); 1000 – 1:09.21 (2002); 1500 – 1:52.02 (2000); 5000 – 7:24.09 (1992); 10000 – 16:46.42 (1991).,
84104,Valentine Bialas,Male,10 January 1903,,, United States,USA,"Valentine Bialas had a very long speed skating career that came to a tragic end. Never a national champion, his biggest championship was the International Speed Skating title in Detroit in 1926. He also later established an American record for two miles, with a time of 5:35.5 set in 1929 in Lake Placid. After competing in three Winter Olympics, Bialas continued to compete and made the 1936 Winter Olympic team as well. But after returning from a meet while training for the Olympics, he was involved in a serious accident when his car was struck by a train, and he lost a leg from the injury. After being fitted with a prosthesis, he continued to skate recreationally and also played in city tennis tournaments. He was inducted into the US Speed Skating Hall of Fame in 1963. In his hometown of Utica, New York, the Val Bialas Ski Center is named in his honor. Personal Bests: 500 – 46.4 (1928); 1500 – 2:24.5 (1933); 5000 – 8:48.7 (1933); 10000 – 18:17.1 (1933).",
53881,Albert Mayaud,Male,31 March 1899,,, France,FRA,,Husband of Odette Monard
145363,Myagmar Delgerkhüü,Male,21 September 1996,,, Mongolia,MGL,,
97868,Elvis Stojko,Male,22 March 1972,170.0,71, Canada,CAN,"One of the best known names in men’s figure skating, Elvis Stojko was named after another famous Elvis, singer Elvis Presley, and began his career on the ice at the age of four. He attended his first World Championship in 1990, placing 9th, and the following year he was the first man to land a quadruple-double jump combination at an international tournament, although he only placed 6th overall. He came in 7th at the 1992 Winter Olympics, but also reached the international podium for the first time that year with a bronze medal at the World Championships. He improved to second place in 1993 and, a year later, took the Canadian and World Championships in addition to a silver medal at the 1994 Winter Olympics. That year he won the Lionel Conacher Award as Canada’s top male athlete. Although he suffered a serious ankle injury that caused him to withdraw from the Canadian Championships, he nevertheless retained his World Championship title in 1995 and retook the Canadian one in 1996, which he would hold on to for an additional five years, through 2000. After falling during a triple axel jump at the 1996 World Championships, he pulled off the first quadruple toe loop-triple toe loop in international competition and managed to finish in 4th place. He regained the world title for a final time in 1997. Stojko experienced a groin injury, as well as a bout with the flu, in 1998 prior to that year’s Winter Olympics. Although he managed to win a second silver medal at the tournament, he severely strained the injury and decided not to attend that year’s World Championships. He placed fourth, second and tenth at the 1999, 2000 and 2001 World Championships respectively and did not skate at the latter year’s Canadian Championships. He regained the Canadian title a final time in 2002, but placed only 8th at the Winter Olympics and decided to turn professional. He skated for four more years before retiring in 2006. He is also a black belt in karate, which he earned at the age of 16. In 1997 his autobiography “Heart and Soul” was published and he now lives in Mexico, married to Mexican figure skater Gladys Orozco since 2010.",Listed in Olympians Who Won a Medal at the World Figure Skating Championships (3–2–1 1992 Oakland bronze: singles; 1993 Praha silver: singles; 1994 Chiba gold: singles; 1995 Birmingham gold: singles; 1997 Lausanne gold: singles; 2000 Nice silver: singles)
125201,Beatriz Fernández,Female,19 March 1985,180.0,74, Spain,ESP,,
55981,György Szalai,Male,14 February 1951,180.0,108, Hungary,HUN,György Szalai had the following podium finishes at major championships: 3rd in the 1980 Olympics Heavyweight class (377.5 kg); 3rd in the 1980 World Championships Heavyweight class (377.5 kg).,
60124,Peter Stjernberg,Male,24 August 1970,170.0,52, Sweden,SWE,Peter Stjernberg had the following finishes at major championships – 1994 World Championship: 57.0 kg. Greco-Roman (17th); 1998 World Championship: 58.0 kg. Greco-Roman (21st); 1997 World Championship: 58.0 kg. Greco-Roman (23rd); 2000 European Championship: 58.0 kg. Greco-Roman (6th); 2001 European Championship: 58.0 kg. Greco-Roman (10th); 1994 European Championship: 57.0 kg. Greco-Roman (11th); 1995 European Championship: 57.0 kg. Greco-Roman (13th).,
65811,Roxy Atkins,Female,26 June 1912,,, Canada,CAN,"Roxy Atkins ran for the Canadian Ladies Athletic Club in Canada. In 1928 she won the Ontario Provincial Championships in the hurdles, even though she had never before competed in the event. She later won the 1935 Canadian champion in the high hurdles, and in 1932 set the Canadian record of 11.8 for the 80 metre hurdles. Atkins placed fourth in the 1934 British Empire Games 80 metres hurdles. In 1946 she moved to the United States, where she met her husband on a trip to the Grand Canyon. She was approached by Dan Ferris, secretary of the US AAU, who she had met during her competitive years, and asked to get into track & field administration with the AAU. She later was manager of the US women’s track & field team at the 1956 Olympics, and managed multiple international teams for the United States into the 1980s. Personal Best: 80H – 11.8 (1932).",
