athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
53113,Olena Sydorenko,Female,20 January 1975,,, Ukraine,UKR,,
119526,Johan Remen Evensen,Male,16 September 1985,,, Norway,NOR,,Listed in Olympians Who Won a Medal at the World Nordic Ski Championships (0–2–0 2009 Liberec SJP silver: team; 2011 Oslo SJP silver: team large hill) Listed in Olympians Who Won a Medal at the World Ski Flying Championships (0–1–0 2010 Planica silver: team)
38186,Róbert Sass,Male,27 October 1959,189.0,88, Hungary,HUN,,
81171,Katya Gordeyeva,Female,22 May 1971,,, Russian Federation  Soviet Union,RUS,"Katya Gordeyeva and Sergey Grinkov were the best pairs skaters at the end of the 1980s and many consider them to be the greatest pairs team ever to take the ice. They rose into prominence in 1986, when they won their first gold at the World Championships. They would later win three more golds at the World Championships (1987, 1989, 1990) and one silver in 1988. At the European Championships, Gordeyeva and Grinkov won golds in 1988, 1990 and 1994 and a silver in 1986. They also won gold at the 1988 Winter Olympics, their only Soviet title coming in 1987. Gordeyeva and Grinkov turned professional in 1990 and in April 1991 they married, with a daughter born in 1992. As professionals, Gordeyeva and Grinkov won the World Professional Championships in 1991, 1992 and 1994 and toured with Stars on Ice. But when a new ISU rule allowed professional skaters to regain their Olympic eligibility, the pair returned to amateur competition for the 1993-94 season and skated at the Olympics, winning their second gold. In 1994 they won their only Russian title. After their second Olympics, the pair again turned professional and toured with Stars on Ice. In the summer of 1995, Gordeyeva and Grinkov were inducted into the World Figure Skating Hall of Fame and planned to return to Stars on Ice for their fourth season. But on 20 November 1995, while the pair was rehearsing for opening night of the upcoming tour, Grinkov collapsed on the ice and died at age 28 from a massive heart attack. Doctors later discovered that Grinkov had a congenital heart condition which caused his death. In February 1996, Gordeyeva returned to the ice, this time as a solo performer and skated with Stars on Ice until 2000, when she took some time off to give a birth to a second daughter. A year later, Gordeyeva married Ilya Kulik, the father of her second daughter and the 1998 Winter Olympic singles gold medalist. Gordeyeva skated professionally until 2007. She later worked as a skating coach and choreographer in the United States, and published two books, My Sergei: A Love Story (1996), which in 1998 was made into a movie “My Sergei,” starring Yelena Berezhnaya and Anton Sikharulidze as Gordeyeva and Grinkov, and A Letter for Daria (1998).",Wife of Sergey Grinkov Wife (divorced) of Ilya Kulik Wife of David Pelletier Listed in Olympians Who Won a Medal at the European Figure Skating Championships (3–1–0 1986 København silver: pairs (competed for the Soviet Union); 1988 Praha gold: pairs (competed for the Soviet Union); 1990 Leningrad gold: pairs (competed for the Soviet Union); 1994 København gold: pairs (competed for Russia)) Listed in Olympians Who Won a Medal at the World Figure Skating Championships (4–1–0 1986 Genève gold: pairs (competed for the Soviet Union); 1987 Cincinnati gold: pairs (competed for the Soviet Union); 1988 Budapest silver: pairs (competed for the Soviet Union); 1989 Paris gold: pairs (competed for the Soviet Union); 1990 Halifax gold: pairs (competed for the Soviet Union))
104946,Marian Burnett,Female,22 February 1976,162.0,52, Guyana,GUY,Personal Best: 800 – 1:59.47 (2004).,Listed in Olympians Who Won a Medal at the Summer Pan American Games (0–1–0 2003 Santo Domingo ATH silver: 800 m) Listed in Olympians Who Won a Medal at the Central American and Caribbean Games (0–0–1 2010 Mayagüez ATH bronze: 800 m)
809,Laura Garrone,Female,15 November 1967,,, Italy,ITA,"Laura Garrone was an Italian professional tennis player. Garrone achieved a career-best singles ranking of 32 in the world in January 1987, and a doubles ranking of 50 in the world in May 1991. Garrone won her first of four ITF singles titles in July 1984 in Cava de’ Tirreni, Italy, beating Bulgaria’s Katerina Maleeva in straight sets. As a doubles player she won five out of the seven ITF finals she contested between 1992 and 1997. On the WTA tour she won five doubles titles, all on clay, from 1989 to 1995. Garrone’s best performance at a Grand Slam came at the 1986 French Open when she reached the fourth round in the singles. Garrone was teamed with Raffaella Reggi-Concato for the doubles at the 1992 Barcelona Olympics with the pair reaching the second round.",Listed in Olympians Who Won a Medal at the Mediterranean Games (0–0–1 1983 Casablanca TEN bronze: doubles)
118775,Juha Lallukka,Male,27 October 1979,180.0,66, Finland,FIN,,
40535,Charles Armstrong,Male,23 October 1881,,, United States,USA,"Charles Armstrong rowed the five-oar for the Vesper BC eight which won the gold medal at St. Louis. The Olympic regatta doubled that year as the national championship, this provided Armstrong with his only national title.",
17397,Fernando Ferrara,Male,24 July 1968,178.0,77, Argentina,ARG,Fernando Ferrara was a member of the silver medal winning team at the 1987 Pan American Games as well as of the gold medal winning team at the 1991 Pan American Games.,Listed in Olympians Who Won a Medal at the Summer Pan American Games (1–1–0 1987 Indianapolis HOK silver; 1991 La Habana HOK gold)
135554,José Mendes,Male,24 April 1985,181.0,65, Portugal,POR,,
68461,Jean-Louis Prianon,Male,22 February 1960,176.0,58, France,FRA,Personal Best: 10000 – 27:34.38 (1987).,
129832,Yislena Hernández,Female,13 March 1990,167.0,57, Cuba,CUB,,Listed in Olympians Who Won a Medal at the Summer Pan American Games (0–1–0 2015 Toronto ROW silver: lightweight double sculls) Listed in Olympians Who Won a Medal at the Central American and Caribbean Games (1–1–0 2014 Veracruz ROW gold: lightweight double sculls; 2018 Barranquilla ROW silver: lightweight double sculls)
94367,Tereza Tobiášová,Female,10 April 1974,176.0,59, Czechia,CZE,,
