edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1896 Summer Olympics,1,1896,United States,USA,11,7,2,20
1896 Summer Olympics,1,1896,Mixed team,MIX,1,0,1,2
1896 Summer Olympics,1,1896,Denmark,DEN,1,2,3,6
1896 Summer Olympics,1,1896,Australia,AUS,2,0,0,2
1896 Summer Olympics,1,1896,Austria,AUT,2,1,2,5
1896 Summer Olympics,1,1896,Switzerland,SUI,1,2,0,3
1896 Summer Olympics,1,1896,Great Britain,GBR,2,3,2,7
1896 Summer Olympics,1,1896,France,FRA,5,4,2,11
1896 Summer Olympics,1,1896,Germany,GER,6,5,2,13
1896 Summer Olympics,1,1896,Greece,GRE,10,18,19,47
1896 Summer Olympics,1,1896,Hungary,HUN,2,1,3,6
