result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,result_description
159249,"Coxless Fours, Men",1992 Summer Olympics,23,Rowing,/editions/23/sports/ROW,28 July –  2 August 1992,"Lago de Bañolas, Bañolas",56 from 14 countries,na,na,"Australia had won the men’s coxless fours at the last two editions of the World Championships and was represented at the 1992 Summer Olympics by its most recent squad: Andrew Cooper, [Mike McKay(/athletes/35479), Nick Green, and James Tomkins. They were the favorites in the event and seemed unlikely to be challenged by any other crew. In the opening round they won their heat in the fastest time, but the Americans were not far behind in their own. The United States lineup contained three runners-up from the most recent World Championships, Thomas Bohrer, Pat Manning, Jr.,and Jeff McLaughlin, and was augmented by Doug Burden, a bronze medalist from the coxed eights event from the 1988 Games. McLaughlin was also a bronze medalist from that event, while Bohrer had earned silver in that year’s coxless fours tournament. The third heat was won by Spain, whose crew included one of Spain’s two Olympic rowing medalists, Fernando Climent. Australia and the United States were the heat winners again in the semi-finals, and again were separated by only a small margin of time, while Spain was eliminated. In the final, however, Australia mustered up its strength reserves and won handily, leaving the silver medal to the Americans. Slovenia, meanwhile, whose squad included 1988 coxless pairs bronze medalist Sadik Mujkič, took bronze by edging out the Germans in a photo finish by a margin of 0.15 seconds. This gave Slovenia one of its first Olympic rowing medals as an independent nation, the other being bronze in the men’s coxless pairs.
"
350522,"Slopestyle, Men",2014 Winter Olympics,58,Snowboarding,/editions/58/sports/SBD,6 –  8 February 2014,"Ekstrim-Park Rosa Khutor, Krasnaya Polyana / Ekstrim-Park Rosa Khutor, Krasnaya Polyana",29 from 13 countries,na,Course Length: 635 mFinish Altitude: 1015 mJibbing Features: 3Jump Features: 3Start Altitude: 1162 mVertical Drop: 147 m,"Slopestyle was a new event to the Olympic Program but it had been contested at the World Championships in 2011 and 2013 and was a regular event at the Winter X-Games. The event generated some controversy before it started when the athletes complained about the risks and dangers of the course, notably two-time halfpipe gold medalist Shaun White. He withdrew, citing his emphasis on the halfpipe, but also noting the danger of the course. This led to a war of tweets between White and Canadian favorite Max Parrot, the 2014 X-Games champion in slopestyle. Some changes were made to the course, which satisfied the athletes and no major injuries occurred.
The event was the first to crown a champion at Sochi and was won by American Sage Kotsenburg, in somewhat of an upset. Kotsenburg had won silver medals in the event at the X-Games in 2010 and 2012, but was not considered among the medal favorites. Kotsenburg did not make the finals from the qualifying round, and had to go thru the semi-finals to qualify. His gold medal, the first at Sochi, marked the first time an American had won the first Winter Olympic gold medal since Alpine skiier Andrea Mead-Lawrence in 1952.
The silver went to Norwegian Ståle Sandbech, who had won the bronze medal at the 2014 X-Games, only a few weeks before Sochi. Bronze medalist Canadian Mark McMorris had been among the medal favorites, having won silver medals in slopestyle at the 2014 X-Games and the 2013 World Championships, but his Olympic medal showed some toughness, as he broken two ribs at the X-Games only weeks before. Favored Max Parrot made the final but placed only fifth.
"
51661,"Trap, Men",1956 Summer Olympics,14,Shooting,/editions/14/sports/SHO,29 November –  1 December 1956 — 9:00,"Royal Australian Air Force Station, Laverton, Victoria",32 from 18 countries,"200 targets in three courses of 75, 75, and 50.",na,"This was the only 1956 shooting event in which the USSR shooters did not win a medal. But they came very close. The gold medal was won by Italy’s Galliano Rossini, who was unchallenged with 195 birds, winning by five. Rossini was a distant descendent of the composer, Giacomo Puccini. Third-place was originally a tie between three shooters – Italy’s Alessandro Ciceri, and Nikolay Mogilevsky and Yury Nikandrov of the Soviet Union. But Ciceri shut-out the Soviets from the medals, winning the shoot-off with 24, to 23 for Mogilevsky and 22 for Nikandrov.
"
51723,"Free Pistol, 50 metres, Open",1972 Summer Olympics,18,Shooting,/editions/18/sports/SHO,27 August 1972 — 9:00,"Schießanlage, Hochbrück, München",59 from 36 countries,50 metres. 60 shots in six series of 10. 600 possible.,na,"The defending champion was the Soviet Grigory Kosykh, who also held the world record with 572. He competed at München but placed only eighth. The gold medal was an easy victory for Sweden’s Ragnar Skanåker, whose score of 567 was five points ahead of Romania’s Dan Iuga in second place. This was the first shooting event of the 1972 Olympics and brought Sweden its first shooting gold medal in 36 years. This was Skanåker’s first Olympics, but far from his last. He would compete continuously thru 1996, appearing in seven Olympic Games.
"
302021,"Discus Throw, Women",2012 Summer Olympics,54,Athletics,/editions/54/sports/ATH,3 –  4 August 2012,"Olympic Stadium, Olympic Park, Stratford, London",35 from 23 countries,na,na,"The favorite was Croatian Sandra Perković, who had been the most consistent thrower throughout the year and had already won the 2012 European title. She had also won the 2010 Europeans but had been popped for PEDs (a stimulant) and served a six-month doping suspension in 2011. The 2011 World Champion was China’s Li Yanfeng, who was expected to contend, along with German Nadine Müller, silver medalist at Daegu in 2011, and Russian Darya Pishchalnikova, the 2006 European Champion, also returning from a two-year drug suspension when she and six other Russian athletes were found to have manipulated their drug testing samples in 2010. Perković had won 9 of 10 meets in 2012, but Pishchalnikova came into form late, with marks of 70.69, the world’s longest throw in 20 years, and 69.34 in her last two meets. Defending champion Stephanie Brown-Trafton of the United States was back in the final, but was a medal longshot.
Müller led the first round of the final with a toss of 65.71, Pishchalnikova in second and Perković in third. In the second round Li took the lead with 67.22, but four throws later, Perković got the platter out to 68.11, a mark that would be good enough for gold. But she would improve it, tossing 69.11 in round three, the eventual winning mark. Li was second through four rounds with Pishchalnikova moving up to third place in that round. But in round five she improved to 67.56 which would win her the silver medal, Li taking bronze. Müller improved her opener in round six with 65.94 but it was only good enough for fifth place. Brown-Trafton was never a factor and placed eighth. Perković’s gold medal was the first athletics gold medal for Croatia as an independent nation.
In February 2013 it was revealed that the original silver medalist in this event, Russian Darya Pishchalnikova, had tested positive before the London Olympics, in May 2012, for oxandrolone. She was disqualified and lost her silver medal, which went to China’s Li Yanfeng, with the bronze medal re-assigned to Cuban Yarelis Barrios.
Barrios had initially won a silver medal in this event at Beijing in 2008, but during IOC re-testing of the samples from the 2008 and 2012 Olympics, in September 2016, she was revealed to have a positive re-test for acetazolamide, and was disqualified, losing her silver medal.
"
359542,"Football, Women",2016 Summer Olympics,59,Football,/editions/59/sports/FBL,3 – 19 August 2016,"Estádio do Maracanã, Maracanã, Rio de Janeiro / Estádio Olímpico João Havelange, Engenho de Dentro, Rio de Janeiro / Estádio Nacional de Brasília Mané Garrincha, Brasília / Minerão, Belo Horizonte / Arena Fonte Nova, Salvador / Arena Corinthians, São Paulo / Arena da Amazônia, Manaus",203 from 12 countries,Round-robin pools advance teams to single-elimination tournament of four teams.,na,"As the reigning Olympic champions, World Cup holders and ranked number one by FIFA, the United States went into the 2016 tournament as very clear favourites. They had an outstanding Olympic record, winning four of the five finals up to 2016, and finishing second in the other, to Norway after sudden-death extra-time in 2000. Seven members of their squad had already won Olympic gold, including goalkeeper Hope Solo, who was going for a record fourth gold in Rio. USA also had the reigning Word Player of the Year, Carli Lloyd, in their squad.
Being on home soil, Brazil, the 2015 Pan-Am champions, looked likely to provide stiff opposition  to the USA. Their team included the five-times Word Player of the Year Marta, and 38-year-old midfielder Formiga, an ever-present since the first Olympic tournament in 1996, thus playing in her sixth Games. The European challenge was expected to come from France, FIFA ranked three, and the talented Germans, twice World Cup winners and three times Olympic bronze medallist, and the number two ranked team by FIFA.
The tournament got off to a great start with Janine Beckie of Canada scoring the fastest goal in Olympic history, when she netted after just 20 seconds against Australia on the first day of the tournament. It beat by 10 seconds the goal scored by Oribe Peralta of Mexico in the 2012 men’s final against Brazil. Sadly for Beckie, her record stood only two weeks until bettered by six seconds by Brazil’s Neymar in the men’s semi-final against Honduras.
The United States qualified as top of their group despite being held by Colombia in their final group game. It was Colombia women’s first ever point in the Olympics. In the USA’s 1-0 win over France, Hope Solo became the first goalkeeper in the world, male or female, to win 200 caps. Germany also qualified for the knockout stage, but only as the second best team in their group behind Canada. They were held to a surprise 2-2 draw in their second group game by the Australians after coming from two goals down and scoring a late equaliser. Australia had the youngest member of the football tournament (men and women) in their squad - 16 -year-old defender Ellie Carpenter. To make matters worse for the Germans, they lost their final group game 2-1 to Canada.  Brazil qualified from their group as the only South American nation in the last eight, while Germany were joined by fellow Europeans Sweden and France, and China and Australia made up the quarter-finals.
The first last eight match saw one of the biggest upsets in women’s Olympic football history as the United States lost to Sweden in the first ever women’s penalty shoot-out. It was also the United States’ first defeat in the Olympics since a 2-0 loss to Norway in a group match in 2008. The US coach who guided them to gold that year, and again in 2012, was Pia Sundhage, and she was now Sweden’s head coach who masterminded their win over the USA in 2016. After the match, Hope Solo called the Swedes “A bunch of cowards”. These remarks earned her a six month suspension from the US team after the Olympics and the termination of her US Soccer Federation contract after 17 years.
Shortly after Sweden’s win in that first ever penalty-shoot out, along came a second when Brazil beat Australia 7-6 on penalties after finishing goalless after 120 minutes. The semi-finals were made up with world number two Germany beating China 1-0 and world number 10 Canada surprising the third ranked FIFA team, France, by the same scoreline.
All four teams in the semis were searching for their first Olympic title and the Brazilian women were hoping to achieve that goal before their male counterparts, albeit by a day, but it was not to be. Just as they did in their win over the USA, Sweden approached the game against Brazil with a defensive attitude and were happy to keep the game goalless for 120 minutes and take the game to penalties. They were all square in the shoot-out when Andressa’s spot kick was saved and Dahlkvist scored the winning goal for the Europeans. Germany made it an all-European final after beating 2012 bronze medalists Canada 2-0 with goals from Melane Behringer and Sara Däbritz.
Having lost out on the chance to become Brazil’s first Olympic soccer champions, the ladies team was hoping at least for a bronze medal but it was Canada who opened the scoring in the bronze medal match in the 25th minute through Deanne Rose who, at 17, was the youngest member of the Canadian squad. They increased their lead on 52 minutes through Christine Sinclair and they seemed to have secured the bronze medal, but when Beatriz scored for the hosts 11 minutes from time it set up a tense finale. Canada held on for back-to-back bronze medals as they became the first Canadians to win consecutive medals in a Summer Olympics team sport since they won lacrosse gold in both 1904 and 1908.
Both Sweden, ranked six, and Germany, ranked two, were in the women’s final for the first time and, for Sweden, it was at the sixth time of asking, having appeared in every edition since women’s football first appeared at Atlanta in 1996. They had never won a medal previously and Germany’s best finish was third on three occasions. The final was a repeat of the 2004 bronze medal match, which Germany won 1-0.
After a goalless first half at the Maracanã, Dzsenifer Marozsan put Germany ahead three minutes into the second half, with a curling finish. Their lead was extended on 62 minutes when Linda Sembrant put through her own goal after Marozsan’s free-kick hit the post. Five minutes later Sweden pulled a goal back when a cross from Kosse Asslani was turned into the goal by Stina Blackstenius, but one goal was not enough and Germany won 2-1. It was their first ever women’s Olympic football gold medal, and the first for the German nation since the GDR men took gold at Montreal in 1976.
"
320063,"One Person Dinghy (Laser Radial), Women",2012 Summer Olympics,54,Sailing,/editions/54/sports/SAL,30 July –  6 August 2012,"Weymouth and Portland National Sailing Academy, Isle of Portland",41 from 41 countries,Points awarded for placement in each race.  Best 9 of 10 scores to count for N. N count double.,na,"The 10-race opening series did little to separate out the medalists as four sailors entered the medal race separated by only one point. Xu Lijia of China, the 2008 bronze medalist in the event, was tied with Dutchwoman Marit Bouwmeester with 33 points, trailed by Annalise Murphy (IRL) and Evi Van Acker (BEL) with 34. In the medal race, Xu went ahead on the downwind leg, passing Murphy, but then had to perform a penalty turn for illegal propulsion. But she quickly regained the lead and sailed on to win the gold medal, with Bouwmeester coming in for silver and Van Acker taking bronze.
"
52011,"Trap, Men",2004 Summer Olympics,26,Shooting,/editions/26/sports/SHO,14 – 15 August 2004,"Olympiako Kentro Skopovolis Markopoulou, Markopoulo",35 from 26 countries,na,na,"The favorite was Michael Diamond (AUS), who was the 1996 and 2000 gold medalist, had been runner-up at the 2002 World Championships, and gold medalist at the 1998 and 2002 Commonwealth Games. He almost did not make the Australian team after he was arresting for assaulting his girlfriend. Because of the pending trial, his firearms license was suspended and he could not train for several months. The charges were eventually dropped and he was added to the team at the last minute. But he would not make the final in Athina, firing only 119 in the prelims. The qualifying leader was Russian Aleksey Alipov with 124. He went clear in the final with 25 to win the gold medal. The 2002 World Champion, Kuwaiti Khaled Al-Mudhaf made the final but hit only 20 of 25 clays and placed sixth. Silver medalist Giovanni Pellielo (ITA) had been third at the 2002 Worlds.
"
40527,"Continental Style, Men",1908 Summer Olympics,5,Archery,/editions/5/sports/ARC,20 July 1908,"White City Stadium, London",25 from 3 countries,40 arrows shot at 50 metres.,na,"Continental style refers to the fact that the arrows for this distance were shot one at a time, as opposed to proper rounds in which the arrows are shot in flights of three.  Eight British archers competed unofficially in this event, at the request of the French archers, according to the Official Report.  We have listed them among the official contestants to indicate approximately where they would have placed, but they had no official placings.  All eight had also competed in the Gentlemen’s Double York Round.  The leader among the unofficial contestants, Robert Backhouse, would have finished second and was awarded a Diploma of Merit for his efforts.
Little is known about the winner, Eugène Grisot.  But 12 years later, at the 1920 Olympics in Antwerp, Grisot competed in the Olympics again in archery, winning three medals in the team events that year, finishing his Olympic career with one gold, two silvers, and one bronze medal.
"
66049,"400 metres, Men",2004 Summer Olympics,26,Athletics,/editions/26/sports/ATH,20 – 23 August 2004,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",62 from 48 countries,na,na,"There were only three rounds, for the first time at the Olympics since 1912. The world leader coming into Athina was a relative newcomer, Jeremy Wariner, who was trained by Clyde Hart, who had trained the redoubtable Michael Johnson. Wariner also attended Baylor University, as had Johnson. The other Americans were Otis Harris and Derrick Brew, always to be considered challengers. But a top runner on the international circuit in 2004 was Grenada’s Alleyne Francique. In the final, the Americans were in lanes 3-5, with Wariner in the middle. Harris led out for 200 metres, but the Americans were 1-2-3. At 300 metres Wariner and Harris were in a virtual dead-heat. But Wariner maintained more speed down the stretch and just over a metre, Harris in second, and Brew completing the American sweep. Françique placed fourth, never a factor for a medal after the first 200.
"
