result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,result_description
4915,"100 metres Backstroke, Women",1928 Summer Olympics,9,Swimming,/editions/9/sports/SWM,9 – 11 August 1928,"Zwemstadion, Amsterdam",12 from 7 countries,na,na,"The customary strong American presence was countered in this event by a pair of British swimmers and 17 year old Zus Braun, considered as the host nation’s best chance of an Olympic championship in the swimming pool. Braun had been the silver medallist behind her compatriot Willy den Turk at the previous year’s European Championships but had been steadily improving since then. Den Turk fell ill in the run-up to the Olympics and was advised to miss the Games for medical reasons. If Dutch hopes were dampened by the sight of the Scottish swimmer, Ellen King, breaking the world record in the first heat, these worries soon passed when Braun replied by swimming four tenths of a second inside this new time. The final saw Braun, roared on by the home crowd, survive a poor finish to hold off the challenge of King and her fellow Briton, Joyce Cooper, to become the first Dutchwoman to win an individual Olympic event. Braun, whose mother was the coach to the Dutch team, attempted to defend her Olympic title four years later in Los Angeles but an apparent insect bite developed into a serious case of blood poisoning that kept her out of the final. After spending weeks in a Los Angeles hospital, Braun returned home to Rotterdam and gave a press conference where she alleged her illness was not caused by an insect but was the result of a deliberate attempt to injure her. Speculation involved a possible link to illegal betting. Another finalist in 1928 was the fourteen year old Eleanor Holm who began an international career that would veer between brilliance and controversy over the next decade.
"
58578,"Marathon, Men",1948 Summer Olympics,12,Athletics,/editions/12/sports/ATH, 7 August 1948 — 15:00,"Empire Stadium, Wembley, London",41 from 21 countries,"42,195 metres (26 miles, 385 yards) out-and-back.",na,"With the world recovering from the effects of World War II, it was difficult to choose a favorite in 1948. Finland’s Viljo Heino was to make his marathon début at London, and as the world-record holder at 10,000 metres and in the one-hour run, he was considered someone to watch. The London organizers chose to not to run over the point-to-point course used for the 1908 Olympics, which had established the standard marathon distance of 42.195 km. (26 miles, 385 yards). Instead, the race started and finished at Wembley Stadium, looping thru the London suburbs.
Raceday was cloudy and humid, with some wind, with the event starting at 3 PM. The immediate lead was taken by the Belgian Étienne Gailly in his marathon début. He held the lead almost the entire race, but was passed briefly at about 35 km. by the Korean, Choi Yoon-Chil. However, Gailly regained the lead quickly and held it as he entered Wembley Stadium. Unfortunately, he had given all he had to that point. He was wobbling and stumbling along the track, evoking memories of Dorando Pietri in 1908. On the track he was passed first by Argentina’s Delfo Cabrera, who had run a steady pace moving up throughout, and then by Britain’s Tom Richards. Cabrera won the gold medal, with Richards second. Gailly was able to finish the race, and held on for a bronze medal. He had never gone beyond 18 miles in training but before the race said “If I am still standing at the finish I will have won a medal”. Gailly did both but only barely.
The following morning at 7.30 am Richards was back at his work as a psychiatric nurse at a hospital around 15 miles from the stadium.
"
54216,"Springboard, Men",1980 Summer Olympics,20,Diving,/editions/20/sports/DIV,22 – 23 July 1980,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",24 from 16 countries,3 metre springboard.,na,"The favorite was the defending champion and 1978 World Champion Phil Boggs – oh wait, he wasn’t in Moscow, a victim of the USA-led boycott. Another favorite was Greg Louganis – OK, you get the point.
In their absence, the gold medal went to Soviet diver Aleksandr Portnov, who was felt to benefit from some hometown officiating. On an early final dive, he flopped badly on a back 2½, but protested that he had been distracted by the cheering crowd, which was watching the 100 butterfly final. Portnov was awarded another dive, and performed it well this time. This did not sit well with Mexican Carlos Girón, eventual silver medalist, nor Italy’s Franco Cagnotto, the bronze medalist, and fourth-placed Falk Hoffmann of East Germany, who had been runner-up to Boggs at the 1978 Worlds. They protested that they had had to dive through similar distractions and Portnov should not have been awarded another dive. For two days the officials met before holding a medal ceremony. But this was Moscow and Portnov was a Soviet, so again, you get the point.
Portnov won a bronze in this event at the 1982 Worlds. Greg Louganis won.
"
51755,"Trap, Open",1980 Summer Olympics,20,Shooting,/editions/20/sports/SHO,20 – 22 July 1980 — 10:00,"Strelbishche Dynamo, Mytishchi",34 from 19 countries,200 targets.,na,"Italy had always been strong in shotgun shooting and 1980 was no exception. After winning gold medals in 1956, 1964, and 1972, Luciano Giovannetti continued the Italian tradition of winning the trap gold medal at every other Olympic Games. His 198 gave him a two-point margin over three shooters – Rustam Yambulatov (URS), Jörg Damme (GDR), and Josef Hojny of Czechoslovakia. Hojny went out in the first shoot-off and did not medal, while Yambulatov won silver with a 25 possible in the second shoot-off. Giovannetti would return in 1984 to defend his gold medal.
"
51556,"Running Target, Single Shot, Team, Men",1908 Summer Olympics,5,Shooting,/editions/5/sports/SHO,10 July 1908,"Bisley Rifle Range, Bisley",8 from 2 countries,110 yards. 10 shots in one run of the deer. 40 possible per shooter. Four shooters per team. Team possible of 160.,na,"Only two teams entered this event, which turned out to be very close. Sweden won the gold medal with a score of 86, only one point ahead of Great Britain. Sweden was led by Oscar Swahn and his son, Alf. This was the first Olympic appearance for Oscar Swahn, but he was already 60-years-old. He competed at the Olympics in 1912 and 1920, winning a silver medal in 1920 in the team running deer double shot, which makes him the oldest Olympic medalist ever at 72+-years-old.
"
158055,"Coxless Fours, Men",1948 Summer Olympics,12,Rowing,/editions/12/sports/ROW,5 –  9 August 1948,"Henley Royal Regatta Course, Henley-on-Thames",40 from 10 countries,"1,929 metres",na,"Formerly prominent, but having lost their long-held Olympic title in 1936, Great Britain was nonetheless a force to be reckoned with in the coxless fours at a home Olympics. In London the nation was represented by Peter Kirkpatrick, Hank Rushmere, Tom Christie, and Tony Butcher of the Thames Rowing Club, the organization that had won the 1947 and 1948 editions of the Stewards’ Challenge Cup at the Henley Royal Regatta. The favorites, however, were the Italian quartet of Giuseppe Moioli, Elio Morille, Giovanni Invernizzi, and Francesco Faggi, who were the reigning European Champions and would go on to hold that crown for two more years. These two nations were comfortably ahead of the rest of the pack in the opening round.
In the semifinals, however, the Britons were dealt a surprising defeat at the hands of the Danes, represented by Ib Storm Larsen, Helge Muxoll Schröder, Aksel Bonde, and Helge Halkjær, who exited the round with the fastest time. Also advancing to the final were Americans Bob Perew, Greg Gates, Stu Griffing, and Fred Kingsbury, although with a time that was nearly 30 seconds slower than either Italy or Denmark’s. The Italians led the pack for the entire race and, although the Danes were able to press them most of the time, they won the gold handily and left Denmark with a silver medal. The Americans, never a genuine threat, settled for bronze after finishing over four seconds behind the Danes.
"
9000227,"12.5 kilometres Mass Start, Women",2018 Winter Olympics,60,Biathlon,/editions/60/sports/BTH,17 February 2018 — 20:15,"Alpensia Biathlon Centre, Alpensia Resort, Mountain Cluster, Daegwallyeong",30 from 13 countries,Penalty loop (150 metres) skied for each missed target.,"Course Length: 12,921 mHeight Differential: 36 mMaximum Climb: 40 mShooting 1: Prone at 2.411 km, 50 m rangeShooting 2: Prone at 5.087 km, 50 m rangeShooting 3: Standing at 7.763 km, 50 m rangeShooting 4: Standing at 10.439 km, 50 m rangeTotal Climbing: 425 m","The mass start was the last of the four women’s individual competitions at the Alpensia Biathlon Centre, starting on 17 February at 20:15. Slovakian Anastasia Kuzmina had her best performance, missing only one target, and posting the the fastest run time to win the gold medal. Belarussian Darya Domracheva also only missed one target and took the silver medal ahead of Norwegian Tiril Eckhoff, who repeated her bronze medal performance from 2014. Favorite Laura Dahlmeier had difficulty and placed 16th.
The race was started with bib numbers 1-3 for the three gold medal winners of the earlier individual Olympic races, 4-6 for the silver medalists and 7-9 for the bronze medalists. Only Nadezhda Skardino from Belarus (7th) and Monika Hojnisz from Poland (15th) hit all shooting targets out of the 30 pursuit competitors.
"
355006,"Lightweight (≤57 kilograms), Women",2016 Summer Olympics,59,Judo,/editions/59/sports/JUD, 8 August 2016,"Arena Carioca 2, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",23 from 23 countries,na,na,"At the Rio Olympics, women’s judo events provided some interesting and touching stories. The day after Majlinda Kelmendi won the first gold medal for Kosovo, the young country torn by ethnic rivalries, Rafaela Silva finally gained host country Brazil’s first gold medal, in the 57 kg class. But the main story behind Silva were her origins in the notorious favela (slum) Cidade de Deus (City of God) in Rio. It was there that the 2004 Olympic bronze medalist Flávio Canto founded a martial arts school which was to turn Silva into the world’s top judoka in her class. The 24-year-old was not really a surprise victor as she was the 2013 World Champion and a two-time gold medalist at the Pan American Games. However, prior to the Olympics she had dropped to 14 in the rankings. Silva had competed in London 2012 where she was disqualified for an illegal leg grab against Hedvig Karakas of Hungary. In Rio the two met again in the quarter-finals. This time, Silva scored a Waza-ari (half point) after 1:50 min, which proved to be sufficient to advance to the semi-final. After beating the second seed, Korean Kim Jan-Di, earlier in the tournament, in the final Silva faced the top-seeded Asian Champion Dorjsurengiin Sumiya. Again, an early Waza-ari for a Sumi-otoshi (corner drop) was decisive in winning gold.
Bronze medals went to Telma Monteiro of Portugal, a five-time European Champion, and Kaori Matsumoto of Japan, the reigning Olympic and World Champion. Both were defeated by Sumiya in the quarter-finals and semi-finals, respectively, of the elimination round.
"
261988,"Singles, Women",2008 Summer Olympics,53,Tennis,/editions/53/sports/TEN,10 – 17 August 2008,"Beijing Aolinpike Gongyuan Wangqiuchang, Beijing Aolinpike Gongyuan, Beijing",64 from 33 countries,Single-elimination tournament.,na,"This event was completely wide open, especially after world #1 Justine Henin (BEL) had retired in May 2008. The #1 seed was Serbia’s Ana Ivanović, who had recently moved up to the #1 world ranking, followed by her countrywoman, Jelena Janković. American sister superstars Serena and Venus Williams were seeded 4th and 7th, respectively, as they had both struggled with injuries in the past year, and were only returning to form.
OK, it was an open tournament, but nobody expected this semi-final. The semi-finalists were China’s Li Na, who would become one of the world’s top players but in 2008 had not yet advanced past the quarters-finals in a Grand Slam; and three Russians – Yelena Dementyeva, Dinara Safina, and Vera Zvonaryova. The top-seeded Russian was Svetlana Kuznetsova at #3, but she lost in round one to Li Na.
Both semi-finals were won in straight sets, with Dementyeva and Safina advancing to the final. Dementyeva won the gold medal with a three-set victory, 3-6, 7-5, 6-3. In the bronze medal match, Li Na was overwhelmed by Zvonaryova, 6-0, 7-5, as Russia unexpectedly swept the medals. A medal sweep in Olympic tennis last occurred in 1908, in three different events.
"
9000105,"Slalom, Men",2018 Winter Olympics,60,Alpine Skiing,/editions/60/sports/ALP,22 February 2018 — 10:15,"Yongpyong Alpine Centre, Mountain Cluster, Daegwallyeong (Rainbow 1)",106 from 65 countries,"Two runs, total time determined placement.","Gates: 66Length: ?Start Altitude: 1,176 mVertical Drop: 211 m","The last individual men’s Alpine skiing event in PyeongChang was the slalom, as usual. The big favorite was Marcel Hirscher, who had already won the Alpine combined and giant slalom in PyeongChang. He had won four of the last five World Cup Crystal Globes in slalom (2012/13, 2013/14, 2015/16, and 2016/17) and was also in the lead in the seasonal slalom World Cup. He was also the 2017 World Champion. His primary challenger was Henrik Kristoffersen, who won the slalom World Cup in 2015/16 and was also in second place in the slalom World Cup. These two were also the silver (Hirscher) and bronze (Kristoffersen) medalists from Sochi, while the gold medalist from four years ago, Mario Matt, had since retired. The two city events held this winter, which counted for the slalom World Cup, were won by André Myhrer and Ramon Zenhäusern. Also considered medal contenders were Michael Matt and Daniel Yule, who had had good seasonal performances.
Kristoffersen, bib #4, took the lead with a great run and when Hirscher started just behind him with bib #5 everyone expected an exciting battle, but Hirscher’s run ended after 22 seconds when he missed a gate. It was the first time in two years that he did not finish a slalom, since February 2016 in Naeba, Japan. The first run ended with Myhrer in second place only 0.21 seconds behind Kristoffersen and the surprise Victor Muffat-Jeandet in third. The first nine finishers up to Zenhäusern were within a second.
In the second run Matt, coming from 12th position, set the fastest run time and took the lead until Zenhäusern took the course, finishing only 0.01 seconds slower in this run, and topping the ranking 0.33 seconds ahead of Matt. In a thrilling race the Frenchmen Clément Noël, Alexis Pinturault, and also Muffat-Jeandet, all placed only a blink behind Matt. Myhrer, who was in second after the first run as in Sochi, when he went out in the second run, but this time he did much better and took the lead. So all eyes were on Kristoffersen, but he went out in 11 seconds, missing a gate like Hirscher, leaving gold for Myhrer.
After Mario Matt became the oldest ever slalom Olympic champion in Sochi, Myhrer set a new age record to become the oldest slalom gold medalist in Olympic history aged 35-042, only nine days younger than Aksel Lund Svindal in his downhill win seven days before. The silver for Zenhäusern was the Switzerland’s first Olympic medal in men’s slalom since Edy Reinalter won gold back in 1948.
With Michael Matt winning bronze, he continued the family tradition, after his brothers Andreas (silver in Vancouver) and Mario (gold in Sochi) had won medals at the previous Games to give the Matt family a full set of medals. The gold medal was the second for Sweden, after Ingemar Stenmark’s win in 1980, and, as Frida Hansdotter won gold six days earlier in the women’s slalom, both slalom golds went to Sweden. This was the second time in history a nation was able to win both slalom titles at the Olympics after Marielle Goitschel and Jean-Claude Killy respectively did so for France in 1968. Myhrer won the race using Head skis, while Zenhäusern and Matt both skied Rossignol.
"
